,pref,pref_id,state_id
1,Aichi,1,1457
2,Akita,2,1458
3,Aomori,3,1459
4,Chiba,4,1460
5,Ehime,5,1461
6,Fukui,6,1462
7,Fukuoka,7,1463
8,Fukushima,8,1464
9,Gifu,9,1465
10,Gunma,10,1466
11,Hiroshima,11,1467
12,Hokkaido,12,1468
13,Hyogo,13,1469
14,Ibaraki,14,1470
15,Ishikawa,15,1471
16,Iwate,16,1472
17,Kagawa,17,1473
18,Kagoshima,18,1474
19,Kanagawa,19,1475
20,Kochi,20,1476
21,Kumamoto,21,1477
22,Kyoto,22,1478
23,Mie,23,1479
24,Miyagi,24,1480
25,Miyazaki,25,1481
26,Nagano,26,1482
27,Nagasaki,27,1483
28,Nara,28,1484
29,Niigata,29,1485
30,Oita,30,1486
31,Okayama,31,1487
32,Okinawa,32,1488
33,Osaka,33,1489
34,Saga,34,1490
35,Saitama,35,1491
36,Shiga,36,1492
37,Shimane,37,1493
38,Shizuoka,38,1494
39,Tochigi,39,1495
40,Tokushima,40,1496
41,Tokyo,41,1497
42,Tottori,42,1498
43,Toyama,43,1499
44,Wakayama,44,1500
45,Yamagata,45,1501
46,Yamaguchi,46,1502
47,Yamanashi,47,1503