icd9in,icd9un,icd10in,icd10un
,E863.08,,W51 
,E863.09,,W52 
,E863.1,,W53 
,E863.10,,W54 
,E863.11,,W55 
,E863.12,,W56 
,E863.13,,W57 
,E863.14,,W58 
,E863.15,,W59 
,E863.16,,W60 
,E863.17,,W64 
,E863.18,,W65 
,E863.19,,W66 
,E863.2,,W67 
,E863.20,,W68 
,E863.21,,W69 
,E863.22,,W70 
,E863.23,,W73 
,E863.24,,W74 
,E863.25,,W75 
,E863.26,,W76 
,E863.27,,W77 
,E863.28,,W78 
,E863.29,,W79 
,E863.3,,W80 
,E863.30,,W81 
,E863.31,,W83 
,E863.32,,W84 
,E863.33,,W85 
,E863.34,,W86 
,E863.35,,W87 
,E863.36,,W88 
,E863.37,,W89 
,E863.38,,W90 
,E863.39,,W91 
,E863.4,,W92 
,E863.40,,W93 
,E863.41,,W94 
,E863.42,,W99 
,E863.43,,X00 
,E863.44,,X01 
,E863.45,,X02 
,E863.46,,X03 
,E863.47,,X04 
,E863.48,,X05 
,E863.49,,X06 
,E863.5,,X08 
,E863.50,,X09 
,E863.51,,X10 
,E863.52,,X11 
,E863.53,,X12 
,E863.54,,X13 
,E863.55,,X14 
,E863.56,,X15 
,E863.57,,X16 
,E863.58,,X17 
,E863.59,,X18 
,E863.6,,X19 
,E863.60,,X20 
,E863.61,,X21 
,E863.62,,X22 
,E863.63,,X23 
,E863.64,,X231
,E863.65,,X232
,E863.66,,X233
,E863.67,,X239
,E863.68,,X24 
,E863.69,,X25 
,E863.7,,X26 
,E863.70,,X27 
,E863.71,,X28 
,E863.72,,X29 
,E863.73,,X30 
,E863.74,,X31 
,E863.75,,X32 
,E863.76,,X33 
,E863.77,,X34 
,E863.78,,X35 
,E863.79,,X36 
,E863.8,,X37 
,E863.80,,X38 
,E863.81,,X39 
,E863.82,,X40 
,E863.83,,X43 
,E863.84,,X44 
,E863.85,,X46 
,E863.86,,X47 
,E863.87,,X48 
,E863.88,,X50 
,E863.89,,X51 
,E863.9,,X52 
,E863.90,,X53 
,E863.91,,X54 
,E863.92,,X57 
,E863.93,,X58 
,E863.94,,X59 
,E863.95,,X59.0 
,E863.96,,X59.9 
,E863.97,,Y40 
,E863.98,,Y40.0 
,E863.99,,Y40.1 
,E864,,Y40.2 
,E864.0,,Y40.3 
,E864.00,,Y40.4 
,E864.01,,Y40.5 
,E864.02,,Y40.6 
,E864.03,,Y40.7 
,E864.04,,Y40.8 
,E864.05,,Y40.9 
,E864.06,,Y41 
,E864.07,,Y41.0 
,E864.08,,Y41.1 
,E864.09,,Y41.2 
,E864.1,,Y41.3 
,E864.10,,Y41.4 
,E864.11,,Y41.5 
,E864.12,,Y41.8 
,E864.13,,Y41.9 
,E864.14,,Y42 
,E864.15,,Y42.0 
,E864.16,,Y42.1 
,E864.17,,Y42.2 
,E864.18,,Y42.3 
,E864.19,,Y42.4 
,E864.2,,Y42.5 
,E864.20,,Y42.6 
,E864.21,,Y42.7 
,E864.22,,Y42.8 
,E864.23,,Y42.9 
,E864.24,,Y43 
,E864.25,,Y43.0 
,E864.26,,Y43.1 
,E864.27,,Y43.2 
,E864.28,,Y43.3 
,E864.29,,Y43.4 
,E864.3,,Y43.5 
,E864.30,,Y43.6 
,E864.31,,Y43.8 
,E864.32,,Y43.9 
,E864.33,,Y44
,E864.34,,Y44.0 
,E864.35,,Y44.1 
,E864.36,,Y44.2 
,E864.37,,Y44.3 
,E864.38,,Y44.4 
,E864.39,,Y44.5 
,E864.4,,Y44.6 
,E864.40,,Y44.7 
,E864.41,,Y44.9 
,E864.42,,Y45 
,E864.43,,Y45.0 
,E864.44,,Y45.1 
,E864.45,,Y45.2 
,E864.46,,Y45.3 
,E864.47,,Y45.4 
,E864.48,,Y45.5 
,E864.49,,Y45.8 
,E865,,Y45.9 
,E865.0,,Y46 
,E865.00,,Y46.0 
,E865.01,,Y46.1 
,E865.02,,Y46.2 
,E865.03,,Y46.3 
,E865.04,,Y46.4 
,E865.05,,Y46.5 
,E865.06,,Y46.6 
,E865.07,,Y46.7 
,E865.08,,Y46.8 
,E865.09,,Y47 
,E865.1,,Y47.0 
,E865.10,,Y47.1 
,E865.11,,Y47.2 
,E865.12,,Y47.3 
,E865.13,,Y47.4 
,E865.14,,Y47.5 
,E865.15,,Y47.8 
,E865.16,,Y47.9 
,E865.17,,Y48 
,E865.18,,Y48.0 
,E865.19,,Y48.1 
,E865.2,,Y48.2 
,E865.20,,Y48.3 
,E865.21,,Y48.4 
,E865.22,,Y48.5 
,E865.23,,Y49 
,E865.24,,Y49.0 
,E865.25,,Y49.1 
,E865.26,,Y49.2 
,E865.27,,Y49.3 
,E865.28,,Y49.4 
,E865.29,,Y49.5 
,E865.3,,Y49.6 
,E865.30,,Y49.7 
,E865.31,,Y49.8 
,E865.32,,Y49.9 
,E865.33,,Y50 
,E865.34,,Y50.0 
,E865.35,,Y50.1 
,E865.36,,Y50.2 
,E865.37,,Y50.8 
,E865.38,,Y50.9 
,E865.39,,Y51 
,E865.4,,Y51.0 
,E865.40,,Y51.1 
,E865.41,,Y51.2 
,E865.42,,Y51.3 
,E865.43,,Y51.4 
,E865.44,,Y51.5 
,E865.45,,Y51.6 
,E865.46,,Y51.7 
,E865.47,,Y51.8 
,E865.48,,Y51.9 
,E865.49,,Y52 
,E865.5,,Y52.0 
,E865.50,,Y52.1 
,E865.51,,Y52.2 
,E865.52,,Y52.3 
,E865.53,,Y52.4 
,E865.54,,Y52.5 
,E865.55,,Y52.6 
,E865.56,,Y52.7 
,E865.57,,Y52.8 
,E865.58,,Y52.9 
,E865.59,,Y53 
,E865.8,,Y53.0 
,E865.80,,Y53.1 
,E865.81,,Y53.2 
,E865.82,,Y53.3 
,E865.83,,Y53.4 
,E865.84,,Y53.5 
,E865.85,,Y53.6 
,E865.86,,Y53.7 
,E865.87,,Y53.8 
,E865.88,,Y53.9 
,E865.89,,Y54 
,E865.9,,Y54.0 
,E865.90,,Y54.1 
,E865.91,,Y54.2 
,E865.92,,Y54.3 
,E865.93,,Y54.4 
,E865.94,,Y54.5 
,E865.95,,Y54.6 
,E865.96,,Y54.7 
,E865.97,,Y54.8 
,E865.98,,Y54.9 
,E865.99,,Y55 
,E866,,Y55.0 
,E866.0,,Y55.1 
,E866.00,,Y55.2 
,E866.01,,Y55.3 
,E866.02,,Y55.4 
,E866.03,,Y55.5 
,E866.04,,Y55.6 
,E866.05,,Y55.7 
,E866.06,,Y56 
,E866.07,,Y56.0 
,E866.08,,Y56.1 
,E866.09,,Y56.2 
,E866.1,,Y56.3 
,E866.10,,Y56.4 
,E866.11,,Y56.5 
,E866.12,,Y56.6 
,E866.13,,Y56.7 
,E866.14,,Y56.8 
,E866.15,,Y56.9 
,E866.16,,Y57 
,E866.17,,Y57.0 
,E866.18,,Y57.1 
,E866.19,,Y57.2 
,E866.2,,Y57.3 
,E866.20,,Y57.4 
,E866.21,,Y57.5 
,E866.22,,Y57.6 
,E866.23,,Y57.7 
,E866.24,,Y57.8 
,E866.25,,Y57.9 
,E866.26,,Y58 
,E866.27,,Y58.0 
,E866.28,,Y58.1 
,E866.29,,Y58.2 
,E866.3,,Y58.3 
,E866.30,,Y58.4 
,E866.31,,Y58.5 
,E866.32,,Y58.6 
,E866.33,,Y58.8 
,E866.34,,Y58.9 
,E866.35,,Y59 
,E866.36,,Y59.0 
,E866.37,,Y59.1 
,E866.38,,Y59.2 
,E866.39,,Y59.3 
,E866.4,,Y59.8 
,E866.40,,Y59.9 
,E866.41,,Y60 
,E866.42,,Y60.0 
,E866.43,,Y60.1 
,E866.44,,Y60.2 
,E866.45,,Y60.3 
,E866.46,,Y60.4 
,E866.47,,Y60.5 
,E866.48,,Y60.6 
,E866.49,,Y60.7 
,E866.5,,Y60.8 
,E866.50,,Y60.9 
,E866.51,,Y61 
,E866.52,,Y61.0 
,E866.53,,Y61.1 
,E866.54,,Y61.2 
,E866.55,,Y61.3 
,E866.56,,Y61.4 
,E866.57,,Y61.5 
,E866.58,,Y61.6 
,E866.59,,Y61.7 
,E866.6,,Y61.8 
,E866.60,,Y61.9 
,E866.61,,Y62 
,E866.62,,Y62.0 
,E866.63,,Y62.1 
,E866.64,,Y62.2 
,E866.65,,Y62.3 
,E866.66,,Y62.4 
,E866.67,,Y62.5 
,E866.68,,Y62.6 
,E866.69,,Y62.8 
,E866.7,,Y62.9 
,E866.70,,Y63 
,E866.71,,Y63.0 
,E866.72,,Y63.1 
,E866.73,,Y63.2 
,E866.74,,Y63.3 
,E866.75,,Y63.4 
,E866.76,,Y63.5 
,E866.77,,Y63.6 
,E866.78,,Y63.8 
,E866.79,,Y63.9 
,E866.8,,Y64 
,E866.80,,Y64.0 
,E866.81,,Y64.1 
,E866.82,,Y64.8 
,E866.83,,Y64.9 
,E866.84,,Y65 
,E866.85,,Y65.0 
,E866.86,,Y65.1 
,E866.87,,Y65.2 
,E866.88,,Y65.3 
,E866.89,,Y65.4 
,E866.9,,Y65.5 
,E866.90,,Y65.8 
,E866.91,,Y66 
,E866.92,,Y69 
,E866.93,,Y70 
,E866.94,,Y70.0
,E866.95,,Y70.1
,E866.96,,Y70.2
,E866.97,,Y70.3
,E866.98,,Y70.8
,E866.99,,Y71 
,E867,,Y71.0
,E867.0,,Y71.1
,E867.00,,Y71.2
,E867.01,,Y71.3
,E867.02,,Y71.8
,E867.03,,Y72 
,E867.04,,Y72.0
,E867.05,,Y72.1
,E867.06,,Y72.2
,E867.07,,Y72.3
,E867.08,,Y72.8
,E867.09,,Y73 
,E868,,Y73.0
,E868.0,,Y73.1
,E868.00,,Y73.2
,E868.01,,Y73.3
,E868.02,,Y73.8
,E868.03,,Y74 
,E868.04,,Y74.0
,E868.05,,Y74.1
,E868.06,,Y74.2
,E868.07,,Y74.3
,E868.08,,Y74.8
,E868.09,,Y75 
,E868.1,,Y75.0
,E868.10,,Y75.1
,E868.11,,Y75.2
,E868.12,,Y75.3
,E868.13,,Y75.8
,E868.14,,Y76 
,E868.15,,Y76.0
,E868.16,,Y76.1
,E868.17,,Y76.2
,E868.18,,Y76.3
,E868.19,,Y76.8
,E868.2,,Y77 
,E868.20,,Y77.0
,E868.21,,Y77.1
,E868.22,,Y77.2
,E868.23,,Y77.3
,E868.24,,Y77.8
,E868.25,,Y78 
,E868.26,,Y78.0
,E868.27,,Y78.1
,E868.28,,Y78.2
,E868.29,,Y78.3
,E868.3,,Y78.8
,E868.30,,Y79 
,E868.31,,Y79.0
,E868.32,,Y79.1
,E868.33,,Y79.2
,E868.34,,Y79.3
,E868.35,,Y79.8
,E868.36,,Y80 
,E868.37,,Y80.0
,E868.38,,Y80.1
,E868.39,,Y80.2
,E868.8,,Y80.3
,E868.80,,Y80.8
,E868.81,,Y81 
,E868.82,,Y81.0
,E868.83,,Y81.1
,E868.84,,Y81.2
,E868.85,,Y81.3
,E868.86,,Y81.8
,E868.87,,Y82 
,E868.88,,Y82.0
,E868.89,,Y82.1
,E868.9,,Y82.2
,E868.90,,Y82.3
,E868.91,,Y82.8
,E868.92,,Y83 
,E868.93,,Y83.0 
,E868.94,,Y83.1 
,E868.95,,Y83.2 
,E868.96,,Y83.3 
,E868.97,,Y83.4 
,E868.98,,Y83.5 
,E868.99,,Y83.6 
,E869,,Y83.8 
,E869.0,,Y83.9 
,E869.00,,Y84 
,E869.01,,Y84.0 
,E869.02,,Y84.1 
,E869.03,,Y84.2 
,E869.04,,Y84.3 
,E869.05,,Y84.4 
,E869.06,,Y84.5 
,E869.07,,Y84.6 
,E869.08,,Y84.7 
,E869.09,,Y84.8 
,E869.1,,Y84.9 
,E869.10,,Y85 
,E869.11,,Y85.0 
,E869.12,,Y85.9 
,E869.13,,Y86 
,E869.14,,Y88 
,E869.15,,Y88.0 
,E869.16,,Y88.1 
,E869.17,,Y88.2 
,E869.18,,Y88.3 
,E869.19,,
,E869.2,,Y10.0
,E869.20,,Y11.0
,E869.21,,Y12.0
,E869.22,,Y13.0
,E869.23,,Y14.0
,E869.24,,Y15.0
,E869.25,,Y16.0
,E869.26,,Y17.0
,E869.27,,Y18.0
,E869.28,,Y19.0
,E869.29,,Y20.0
,E869.3,,Y21.0
,E869.30,,Y22.0
,E869.31,,Y23.0
,E869.32,,Y24.0
,E869.33,,Y25.0
,E869.34,,Y26.0
,E869.35,,Y27.0
,E869.36,,Y28.0
,E869.37,,Y29.0
,E869.38,,Y30.0
,E869.39,,Y31.0
,E869.4,,Y32.0
,E869.40,,Y33.0
,E869.41,,Y34.0
,E869.42,,X41.0
,E869.43,,X42.0
,E869.44,,X45.0
,E869.45,,X49.0
,E869.46,,Y87.2
,E869.47,,Y89.9
,E869.48,,
,E869.49,,
,E869.8,,
,E869.80,,
,E869.81,,
,E869.82,,
,E869.83,,
,E869.84,,
,E869.85,,
,E869.86,,
,E869.87,,
,E869.88,,
,E869.89,,
,E869.9,,
,E869.90,,
,E869.91,,
,E869.92,,
,E869.93,,
,E869.94,,
,E869.95,,
,E869.96,,
,E869.97,,
,E869.98,,
,E869.99,,
,E870,,
,E870.0,,
,E870.1,,
,E870.2,,
,E870.3,,
,E870.4,,
,E870.5,,
,E870.6,,
,E870.7,,
,E870.8,,
,E870.9,,
,E871,,
,E871.0,,
,E871.1,,
,E871.2,,
,E871.3,,
,E871.4,,
,E871.5,,
,E871.6,,
,E871.7,,
,E871.8,,
,E871.9,,
,E872,,
,E872.0,,
,E872.1,,
,E872.2,,
,E872.3,,
,E872.4,,
,E872.5,,
,E872.6,,
,E872.8,,
,E872.9,,
,E873,,
,E873.0,,
,E873.1,,
,E873.2,,
,E873.3,,
,E873.4,,
,E873.5,,
,E873.6,,
,E873.8,,
,E873.9,,
,E874,,
,E874.0,,
,E874.1,,
,E874.2,,
,E874.3,,
,E874.4,,
,E874.5,,
,E874.8,,
,E874.9,,
,E875,,
,E875.0,,
,E875.1,,
,E875.2,,
,E875.8,,
,E875.9,,
,E876,,
,E876.0,,
,E876.1,,
,E876.2,,
,E876.3,,
,E876.4,,
,E876.5,,
,E876.8,,
,E876.9,,
,E878,,
,E878.0,,
,E878.1,,
,E878.2,,
,E878.3,,
,E878.4,,
,E878.5,,
,E878.6,,
,E878.8,,
,E878.9,,
,E879,,
,E879.0,,
,E879.1,,
,E879.2,,
,E879.3,,
,E879.4,,
,E879.5,,
,E879.6,,
,E879.7,,
,E879.8,,
,E879.9,,
,E880,,
,E880.0,,
,E880.00,,
,E880.01,,
,E880.02,,
,E880.03,,
,E880.04,,
,E880.05,,
,E880.06,,
,E880.07,,
,E880.08,,
,E880.09,,
,E880.9,,
,E880.90,,
,E880.91,,
,E880.92,,
,E880.93,,
,E880.94,,
,E880.95,,
,E880.96,,
,E880.97,,
,E880.98,,
,E880.99,,
,E881,,
,E881.0,,
,E881.00,,
,E881.01,,
,E881.02,,
,E881.03,,
,E881.04,,
,E881.05,,
,E881.06,,
,E881.07,,
,E881.08,,
,E881.09,,
,E881.1,,
,E881.10,,
,E881.11,,
,E881.12,,
,E881.13,,
,E881.14,,
,E881.15,,
,E881.16,,
,E881.17,,
,E881.18,,
,E881.19,,
,E882,,
,E882.0,,
,E882.00,,
,E882.01,,
,E882.02,,
,E882.03,,
,E882.04,,
,E882.05,,
,E882.06,,
,E882.07,,
,E882.08,,
,E882.09,,
,E883,,
,E883.0,,
,E883.00,,
,E883.01,,
,E883.02,,
,E883.03,,
,E883.04,,
,E883.05,,
,E883.06,,
,E883.07,,
,E883.08,,
,E883.09,,
,E883.1,,
,E883.10,,
,E883.11,,
,E883.12,,
,E883.13,,
,E883.14,,
,E883.15,,
,E883.16,,
,E883.17,,
,E883.18,,
,E883.19,,
,E883.2,,
,E883.20,,
,E883.21,,
,E883.22,,
,E883.23,,
,E883.24,,
,E883.25,,
,E883.26,,
,E883.27,,
,E883.28,,
,E883.29,,
,E883.9,,
,E883.90,,
,E883.91,,
,E883.92,,
,E883.93,,
,E883.94,,
,E883.95,,
,E883.96,,
,E883.97,,
,E883.98,,
,E883.99,,
,E884,,
,E884.0,,
,E884.00,,
,E884.01,,
,E884.02,,
,E884.03,,
,E884.04,,
,E884.05,,
,E884.06,,
,E884.07,,
,E884.08,,
,E884.09,,
,E884.1,,
,E884.10,,
,E884.11,,
,E884.12,,
,E884.13,,
,E884.14,,
,E884.15,,
,E884.16,,
,E884.17,,
,E884.18,,
,E884.19,,
,E884.2,,
,E884.20,,
,E884.21,,
,E884.22,,
,E884.23,,
,E884.24,,
,E884.25,,
,E884.26,,
,E884.27,,
,E884.28,,
,E884.29,,
,E884.9,,
,E884.90,,
,E884.91,,
,E884.92,,
,E884.93,,
,E884.94,,
,E884.95,,
,E884.96,,
,E884.97,,
,E884.98,,
,E884.99,,
,E885,,
,E885.0,,
,E885.00,,
,E885.01,,
,E885.02,,
,E885.03,,
,E885.04,,
,E885.05,,
,E885.06,,
,E885.07,,
,E885.08,,
,E885.09,,
,E886,,
,E886.0,,
,E886.00,,
,E886.01,,
,E886.02,,
,E886.03,,
,E886.04,,
,E886.05,,
,E886.06,,
,E886.07,,
,E886.08,,
,E886.09,,
,E886.9,,
,E886.90,,
,E886.91,,
,E886.92,,
,E886.93,,
,E886.94,,
,E886.95,,
,E886.96,,
,E886.97,,
,E886.98,,
,E886.99,,
,E887,,
,E887.0,,
,E887.00,,
,E887.01,,
,E887.02,,
,E887.03,,
,E887.04,,
,E887.05,,
,E887.06,,
,E887.07,,
,E887.08,,
,E887.09,,
,E888,,
,E888.0,,
,E888.00,,
,E888.01,,
,E888.02,,
,E888.03,,
,E888.04,,
,E888.05,,
,E888.06,,
,E888.07,,
,E888.08,,
,E888.09,,
,E890,,
,E890.0,,
,E890.00,,
,E890.01,,
,E890.02,,
,E890.03,,
,E890.04,,
,E890.05,,
,E890.06,,
,E890.07,,
,E890.08,,
,E890.09,,
,E890.1,,
,E890.10,,
,E890.11,,
,E890.12,,
,E890.13,,
,E890.14,,
,E890.15,,
,E890.16,,
,E890.17,,
,E890.18,,
,E890.19,,
,E890.2,,
,E890.20,,
,E890.21,,
,E890.22,,
,E890.23,,
,E890.24,,
,E890.25,,
,E890.26,,
,E890.27,,
,E890.28,,
,E890.29,,
,E890.3,,
,E890.30,,
,E890.31,,
,E890.32,,
,E890.33,,
,E890.34,,
,E890.35,,
,E890.36,,
,E890.37,,
,E890.38,,
,E890.39,,
,E890.8,,
,E890.80,,
,E890.81,,
,E890.82,,
,E890.83,,
,E890.84,,
,E890.85,,
,E890.86,,
,E890.87,,
,E890.88,,
,E890.89,,
,E890.9,,
,E890.90,,
,E890.91,,
,E890.92,,
,E890.93,,
,E890.94,,
,E890.95,,
,E890.96,,
,E890.97,,
,E890.98,,
,E890.99,,
,E891,,
,E891.0,,
,E891.00,,
,E891.01,,
,E891.02,,
,E891.03,,
,E891.04,,
,E891.05,,
,E891.06,,
,E891.07,,
,E891.08,,
,E891.09,,
,E891.1,,
,E891.10,,
,E891.11,,
,E891.12,,
,E891.13,,
,E891.14,,
,E891.15,,
,E891.16,,
,E891.17,,
,E891.18,,
,E891.19,,
,E891.2,,
,E891.20,,
,E891.21,,
,E891.22,,
,E891.23,,
,E891.24,,
,E891.25,,
,E891.26,,
,E891.27,,
,E891.28,,
,E891.29,,
,E891.3,,
,E891.30,,
,E891.31,,
,E891.32,,
,E891.33,,
,E891.34,,
,E891.35,,
,E891.36,,
,E891.37,,
,E891.38,,
,E891.39,,
,E891.8,,
,E891.80,,
,E891.81,,
,E891.82,,
,E891.83,,
,E891.84,,
,E891.85,,
,E891.86,,
,E891.87,,
,E891.88,,
,E891.89,,
,E891.9,,
,E891.90,,
,E891.91,,
,E891.92,,
,E891.93,,
,E891.94,,
,E891.95,,
,E891.96,,
,E891.97,,
,E891.98,,
,E891.99,,
,E892,,
,E892.0,,
,E892.00,,
,E892.01,,
,E892.02,,
,E892.03,,
,E892.04,,
,E892.05,,
,E892.06,,
,E892.07,,
,E892.08,,
,E892.09,,
,E893,,
,E893.0,,
,E893.00,,
,E893.01,,
,E893.02,,
,E893.03,,
,E893.04,,
,E893.05,,
,E893.06,,
,E893.07,,
,E893.08,,
,E893.09,,
,E893.1,,
,E893.10,,
,E893.11,,
,E893.12,,
,E893.13,,
,E893.14,,
,E893.15,,
,E893.16,,
,E893.17,,
,E893.18,,
,E893.19,,
,E893.2,,
,E893.20,,
,E893.21,,
,E893.22,,
,E893.23,,
,E893.24,,
,E893.25,,
,E893.26,,
,E893.27,,
,E893.28,,
,E893.29,,
,E893.8,,
,E893.80,,
,E893.81,,
,E893.82,,
,E893.83,,
,E893.84,,
,E893.85,,
,E893.86,,
,E893.87,,
,E893.88,,
,E893.89,,
,E893.9,,
,E893.90,,
,E893.91,,
,E893.92,,
,E893.93,,
,E893.94,,
,E893.95,,
,E893.96,,
,E893.97,,
,E893.98,,
,E893.99,,
,E894,,
,E894.0,,
,E894.00,,
,E894.01,,
,E894.02,,
,E894.03,,
,E894.04,,
,E894.05,,
,E894.06,,
,E894.07,,
,E894.08,,
,E894.09,,
,E895,,
,E895.0,,
,E895.00,,
,E895.01,,
,E895.02,,
,E895.03,,
,E895.04,,
,E895.05,,
,E895.06,,
,E895.07,,
,E895.08,,
,E895.09,,
,E896,,
,E896.0,,
,E896.00,,
,E896.01,,
,E896.02,,
,E896.03,,
,E896.04,,
,E896.05,,
,E896.06,,
,E896.07,,
,E896.08,,
,E896.09,,
,E897,,
,E897.0,,
,E897.00,,
,E897.01,,
,E897.02,,
,E897.03,,
,E897.04,,
,E897.05,,
,E897.06,,
,E897.07,,
,E897.08,,
,E897.09,,
,E898,,
,E898.0,,
,E898.00,,
,E898.01,,
,E898.02,,
,E898.03,,
,E898.04,,
,E898.05,,
,E898.06,,
,E898.07,,
,E898.08,,
,E898.09,,
,E898.1,,
,E898.10,,
,E898.11,,
,E898.12,,
,E898.13,,
,E898.14,,
,E898.15,,
,E898.16,,
,E898.17,,
,E898.18,,
,E898.19,,
,E899,,
,E899.0,,
,E899.00,,
,E899.01,,
,E899.02,,
,E899.03,,
,E899.04,,
,E899.05,,
,E899.06,,
,E899.07,,
,E899.08,,
,E899.09,,
,E900,,
,E900.0,,
,E900.00,,
,E900.01,,
,E900.02,,
,E900.03,,
,E900.04,,
,E900.05,,
,E900.06,,
,E900.07,,
,E900.08,,
,E900.09,,
,E900.1,,
,E900.10,,
,E900.11,,
,E900.12,,
,E900.13,,
,E900.14,,
,E900.15,,
,E900.16,,
,E900.17,,
,E900.18,,
,E900.19,,
,E900.9,,
,E900.90,,
,E900.91,,
,E900.92,,
,E900.93,,
,E900.94,,
,E900.95,,
,E900.96,,
,E900.97,,
,E900.98,,
,E900.99,,
,E901,,
,E901.0,,
,E901.00,,
,E901.01,,
,E901.02,,
,E901.03,,
,E901.04,,
,E901.05,,
,E901.06,,
,E901.07,,
,E901.08,,
,E901.09,,
,E901.1,,
,E901.10,,
,E901.11,,
,E901.12,,
,E901.13,,
,E901.14,,
,E901.15,,
,E901.16,,
,E901.17,,
,E901.18,,
,E901.19,,
,E901.8,,
,E901.80,,
,E901.81,,
,E901.82,,
,E901.83,,
,E901.84,,
,E901.85,,
,E901.86,,
,E901.87,,
,E901.88,,
,E901.89,,
,E901.9,,
,E901.90,,
,E901.91,,
,E901.92,,
,E901.93,,
,E901.94,,
,E901.95,,
,E901.96,,
,E901.97,,
,E901.98,,
,E901.99,,
,E902,,
,E902.0,,
,E902.00,,
,E902.01,,
,E902.02,,
,E902.03,,
,E902.04,,
,E902.05,,
,E902.06,,
,E902.07,,
,E902.08,,
,E902.09,,
,E902.1,,
,E902.10,,
,E902.11,,
,E902.12,,
,E902.13,,
,E902.14,,
,E902.15,,
,E902.16,,
,E902.17,,
,E902.18,,
,E902.19,,
,E902.2,,
,E902.20,,
,E902.21,,
,E902.22,,
,E902.23,,
,E902.24,,
,E902.25,,
