"","model.1.mean","model.1.ll","model.1.ul","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.00838199748824809,-0.0092182722964863,0.0252421293047289,7.03553306985088e-07,-0.0308898218953207,0.0307480402797528,0,1,"Accidental falls"
"2",0.010236716254778,-0.00713638058154313,0.0276857920760999,0.0125902722581648,-0.0191700412333736,0.0444774213524399,0,1,"Accidental falls"
"3",0.0114023542035728,-0.00672837810572957,0.0302104947026573,0.0148448739209535,-0.0221267705861217,0.0516562241309522,0,1,"Accidental falls"
"4",0.0123673657004328,-0.00667036602186873,0.0328355929262777,0.0272555400239806,-0.016251546248296,0.0714539890176721,0,1,"Accidental falls"
"5",0.0114033271396253,-0.00857204066849843,0.0319874213787564,0.00883515316377027,-0.0364549396007583,0.0536116267626885,0,1,"Accidental falls"
"6",0.0112911364652315,-0.00932412237022207,0.0324901570927489,0.0131590259684449,-0.0353979681438856,0.0620722173109922,0,1,"Accidental falls"
"7",0.0104577784484174,-0.0108727700601111,0.0316029204252948,-0.0074912668455817,-0.0591776659186909,0.0424951747555483,0,1,"Accidental falls"
"8",0.0120723689045464,-0.0085990327655781,0.0341761594739358,0.0245058613905085,-0.025870563631174,0.0755030533637168,0,1,"Accidental falls"
"9",0.0124349883379092,-0.00789197809207769,0.0345952467095196,0.0321484685263836,-0.0193758164148796,0.0846022968028647,0,1,"Accidental falls"
"10",0.0115709729584539,-0.00803026004114365,0.0323882450423083,0.0287392691862572,-0.0182248381379596,0.0766694184321794,0,1,"Accidental falls"
"11",0.00886631715381414,-0.0102724172806146,0.0272822212035819,-0.00248118587655448,-0.0411320628317138,0.035766259700024,0,1,"Accidental falls"
"12",0.0084255454615772,-0.00938484028190097,0.0255705905315161,0.00393371304677828,-0.026541438027524,0.0347032994166374,0,1,"Accidental falls"
"13",0.00932047032556237,-0.00868618441522541,0.0263924732647184,0.00382985837742869,-0.0272727874733926,0.0349115283947955,5,1,"Accidental falls"
"14",0.00997418895902399,-0.00812125114693492,0.0273058467503401,0.00331776277656266,-0.0280269628877276,0.0346239770827743,5,1,"Accidental falls"
"15",0.0121440788096817,-0.00638155811590659,0.0308162567925483,0.0152421637352395,-0.0213271746779775,0.0518935841666118,5,1,"Accidental falls"
"16",0.0134319341981626,-0.00602856560214525,0.0337060570074884,0.0129708201522887,-0.0309012236712622,0.056548090405381,5,1,"Accidental falls"
"17",0.0150402721977837,-0.00491207068133238,0.036802031385213,0.0194416200151505,-0.0254683173823061,0.0640972735267486,5,1,"Accidental falls"
"18",0.0166475285687281,-0.0038315186615135,0.0401130080421236,0.0343380736338914,-0.0137254581963883,0.0829777251705361,5,1,"Accidental falls"
"19",0.0167863623984083,-0.00398376252762965,0.0406975989037541,0.0308032797148165,-0.0186493893657048,0.0803140310982142,5,1,"Accidental falls"
"20",0.0164280233019214,-0.00439377832341792,0.0402821990479318,0.0328842587939563,-0.017703251529325,0.0837329449739443,5,1,"Accidental falls"
"21",0.0151448476959443,-0.0054678546774842,0.0379962126385455,0.0301974316180315,-0.0216580799426133,0.0827981384070664,5,1,"Accidental falls"
"22",0.0127626534193954,-0.00740102724096172,0.0334536856274808,0.0114322973843784,-0.0359389477423641,0.0583802883229864,5,1,"Accidental falls"
"23",0.0108555762988062,-0.00840455788878561,0.0296101052977087,0.00608511722104725,-0.0322695118068245,0.0444675635434976,5,1,"Accidental falls"
"24",0.00951981690929463,-0.00868732922683008,0.0268557160485461,0.00367354260077756,-0.0267087002434472,0.0342781666400944,5,1,"Accidental falls"
"25",0.0192772928075688,0.00520167603904642,0.0341953342977453,0.0259562551006198,0.000301306929855628,0.0516583181293813,15,1,"Accidental falls"
"26",0.0167633475072144,0.00191093958345153,0.0311545430948093,0.0121909900803744,-0.0135546495125692,0.0379078037474078,15,1,"Accidental falls"
"27",0.0160287307570426,0.000172296025044812,0.0311674856088414,0.0178832164773435,-0.0113592556243516,0.0472597709087686,15,1,"Accidental falls"
"28",0.0136871356082315,-0.00504825190892898,0.0296766994067718,-0.0144432802853058,-0.0509874768806237,0.0211362654251775,15,1,"Accidental falls"
"29",0.0166947178604853,-0.000471494741941445,0.0335276469358882,0.0239451908181556,-0.011408071055697,0.0596895852909552,15,1,"Accidental falls"
"30",0.0175839487975071,0.000205614443282015,0.035113266485931,0.0227415756541164,-0.0147591905070317,0.0603440486942707,15,1,"Accidental falls"
"31",0.0176024431682544,-0.000188396360804321,0.0352805565763716,0.0121511308646737,-0.0265315347932805,0.0504472888418451,15,1,"Accidental falls"
"32",0.0189620740807334,0.00150772586283187,0.0374178773797513,0.0274173407069109,-0.0118157998340056,0.0668252252645397,15,1,"Accidental falls"
"33",0.0190507028616724,0.00166704738116251,0.0373902172237314,0.0246192935990951,-0.0171623038804148,0.0663831791044033,15,1,"Accidental falls"
"34",0.0188839206167269,0.0021871131971349,0.0363116614598622,0.0265129092680929,-0.0109245870724964,0.0642896901624411,15,1,"Accidental falls"
"35",0.0170705344675844,0.000746439157836377,0.0325695302177166,0.000503085334740343,-0.031089830007197,0.0317523567138497,15,1,"Accidental falls"
"36",0.0195715530786888,0.00541050365919869,0.0346195329329298,0.027135994255913,0.00258103887661273,0.0519407349371753,15,1,"Accidental falls"
"37",0.00785099799628213,-0.00662304781710066,0.0208700354920127,-0.00169776823812573,-0.024360841058718,0.0208816867173981,25,1,"Accidental falls"
"38",0.0108396553434879,-0.00288168437728963,0.0242568913653773,0.0115935254584962,-0.0114534553269035,0.0346969951261177,25,1,"Accidental falls"
"39",0.013276037705568,-0.00105560617998067,0.0281836368826253,0.0168489823550934,-0.0103622509769291,0.0440588259466646,25,1,"Accidental falls"
"40",0.0145885617849807,-0.000647796263170372,0.0308096261810418,0.0142748158626079,-0.0182095137348838,0.0466223120866839,25,1,"Accidental falls"
"41",0.0163511214586387,0.000753088735802238,0.0336592347006265,0.0193364013374558,-0.0126860109024002,0.0512556605299607,25,1,"Accidental falls"
"42",0.0179349810965498,0.00180688386370779,0.0367293924791405,0.0295542062505008,-0.00547924134867272,0.0647119159532176,25,1,"Accidental falls"
"43",0.0180008536399678,0.00161036129138465,0.0371990059706727,0.0291291901388124,-0.00671974199851047,0.0650411563110587,25,1,"Accidental falls"
"44",0.0170351728015333,0.000598996030669482,0.0359574348310287,0.027977474258284,-0.0089222328035472,0.0649471908501529,25,1,"Accidental falls"
"45",0.0148218022459985,-0.00145669898491389,0.0325066977001537,0.019087339322854,-0.0182596441997837,0.056402985421067,25,1,"Accidental falls"
"46",0.0123997431041786,-0.00343473876307338,0.0283904214707918,0.0114031813918061,-0.0219000631667033,0.0445943632490748,25,1,"Accidental falls"
"47",0.0103025186145519,-0.00469541948296589,0.0247031154523717,0.00836494649648549,-0.019461943653204,0.0362510636323438,25,1,"Accidental falls"
"48",0.00842712076026752,-0.00562657278232088,0.0214526021306579,0.00435646132284935,-0.0169308211600964,0.0257661548334808,25,1,"Accidental falls"
"49",0.0029687594375509,-0.0079530376137274,0.0133989063828881,5.56635876926523e-06,-0.017194864612687,0.0171801112743983,45,1,"Accidental falls"
"50",0.00434368647993966,-0.00642749627967503,0.0150139913672796,0.00405904203618935,-0.0129878079922953,0.0211215542950002,45,1,"Accidental falls"
"51",0.00566151306817164,-0.00582774314232562,0.0174050893490853,0.00707340997885348,-0.0127169367944683,0.0268199663172661,45,1,"Accidental falls"
"52",0.00634969031583503,-0.00644783825350452,0.0195314433123539,0.00358574426856708,-0.0230259262822607,0.0300803376286324,45,1,"Accidental falls"
"53",0.00819393205811245,-0.00486368252712692,0.0226534185969026,0.0179167067679996,-0.00811139594426208,0.0440814387823125,45,1,"Accidental falls"
"54",0.00711810197250477,-0.00686876856948954,0.0216136936558117,-0.00591172052092525,-0.0365500665391229,0.0242412418577754,45,1,"Accidental falls"
"55",0.00955102859868957,-0.00435608444889346,0.02589975445067,0.0250347352879596,-0.00453584505066889,0.0548122942046565,45,1,"Accidental falls"
"56",0.00865146471909119,-0.00537988409056676,0.0249084242527139,0.0268606456926259,-0.00468478784022874,0.05874190497047,45,1,"Accidental falls"
"57",0.00415651287614891,-0.0106621594691172,0.0181672367861501,-0.0147815085826206,-0.0468250486869949,0.0166484149052062,45,1,"Accidental falls"
"58",0.0039993990844392,-0.0095268411212126,0.017261864614686,0.00836275070847893,-0.0189010462352767,0.03575407045838,45,1,"Accidental falls"
"59",0.00194558896146621,-0.0110185584948629,0.0137124079419406,-0.00662141147545897,-0.0285320977356774,0.0152508535138116,45,1,"Accidental falls"
"60",0.00310626841291672,-0.00778438401228137,0.0137158233113254,0.00433011457038178,-0.0124078226290016,0.0211328365966749,45,1,"Accidental falls"
"61",-0.00455499735924409,-0.0141712978609474,0.00514604166178658,-0.00387827772971636,-0.0189526973658864,0.0111857379105389,55,1,"Accidental falls"
"62",-0.00381484561838148,-0.0135056371625433,0.00596944663888673,-0.00610862974856471,-0.0208967423065258,0.00868318030280324,55,1,"Accidental falls"
"63",-0.000940630831569627,-0.0114162807974238,0.0108241433861798,0.00600321048405575,-0.0111521129293053,0.0231316845197322,55,1,"Accidental falls"
"64",-0.0016644698745277,-0.0134281695957545,0.0115786905771788,0.00625119270139861,-0.0175604581825617,0.0300623447949933,55,1,"Accidental falls"
"65",-0.00421188973592476,-0.0167220299173104,0.00884280850299485,0.00197471655245023,-0.0222445057387787,0.0262523461992768,55,1,"Accidental falls"
"66",-0.0087963214418486,-0.023554296211626,0.00413190824743263,-0.0242649084189252,-0.0520792510572272,0.00324670347447186,55,1,"Accidental falls"
"67",-0.0097133618527844,-0.0246759328255892,0.00340415124100048,-0.0123156458273936,-0.0393447028291471,0.0148266698473242,55,1,"Accidental falls"
"68",-0.0111775047306379,-0.0271081582464512,0.00213029707084309,-0.0296056964469721,-0.0583196106881527,-0.00125336509830378,55,1,"Accidental falls"
"69",-0.00863797856612417,-0.0227313951269694,0.0044159438878576,-0.00578177632361124,-0.0342583901089966,0.0228457361015182,55,1,"Accidental falls"
"70",-0.00734277838261501,-0.0199997407919922,0.00492176044123528,-0.00550930669788269,-0.0295629898872974,0.0185191554378825,55,1,"Accidental falls"
"71",-0.00666771556420563,-0.0179036427409269,0.00430983557436198,-0.00725557131738443,-0.0264426196409566,0.0119418413154325,55,1,"Accidental falls"
"72",-0.00577089325121976,-0.0155142574060571,0.00387623142927417,-0.00647871761816321,-0.0209694316211978,0.00803637321904326,55,1,"Accidental falls"
"73",0.000629296554276685,-0.00780624304136363,0.0097847303891906,0.00497397199591971,-0.00786972877531877,0.0178156426533982,65,1,"Accidental falls"
"74",0.000261793235999216,-0.0082013198997479,0.00928816722522976,0.00451479635017047,-0.00796791314880076,0.0170123920022238,65,1,"Accidental falls"
"75",-0.00433109432368092,-0.0150066632119565,0.0051222884214234,-0.013611306777537,-0.0288048568954269,0.00152314799379622,65,1,"Accidental falls"
"76",-0.00260705952561165,-0.0139857778411183,0.00828577720775641,-0.00497039737984862,-0.0262046298297451,0.0162322852239456,65,1,"Accidental falls"
"77",-0.000113804137309382,-0.0113931133766456,0.0120294365253619,0.0059191280077744,-0.0150268994525731,0.0268706826711477,65,1,"Accidental falls"
"78",0.00013072647827629,-0.0118121202997277,0.0131353078051873,0.00595338082693059,-0.0187291733731932,0.0306325571709103,65,1,"Accidental falls"
"79",-0.0010323565724854,-0.0133213788081625,0.0117123816457684,0.00245926377224025,-0.0215125583378587,0.0264738965381434,65,1,"Accidental falls"
"80",-0.00374470057488997,-0.017194350330003,0.00852258610193784,-0.0184696603176844,-0.0441709239835955,0.00694835879544891,65,1,"Accidental falls"
"81",-0.0022746843567156,-0.0147184416834981,0.0101534807992649,0.00475481772110044,-0.0211945773457627,0.0308736938800744,65,1,"Accidental falls"
"82",-0.00319457289502894,-0.0149003517493587,0.00797310001304015,-0.00644964889959461,-0.0278148025680216,0.0148446349988992,65,1,"Accidental falls"
"83",-0.0027085757689978,-0.0128160670822957,0.00715720619076356,-0.00216667492135488,-0.0186113882752212,0.0142941131666225,65,1,"Accidental falls"
"84",-0.0029197742405065,-0.0118524386542554,0.00559971673789678,-0.00683013733744124,-0.019347108103336,0.0057031223231253,65,1,"Accidental falls"
"85",-0.00905592103371911,-0.016094145829496,-0.0021438435327726,-0.00933266365366455,-0.0192895826469252,0.000616261749264274,75,1,"Accidental falls"
"86",-0.00952577536192132,-0.016639134361346,-0.00268425566131564,-0.0105372327551582,-0.0201291180188038,-0.000945188755908696,75,1,"Accidental falls"
"87",-0.00875311852994552,-0.0167808403874706,-0.00113907249799035,-0.0124192938565882,-0.0238582941532006,-0.00100464855185367,75,1,"Accidental falls"
"88",-0.00363143542391824,-0.0125832510364607,0.00636362094210047,0.00442163182167566,-0.011891018425835,0.0207426893988083,75,1,"Accidental falls"
"89",-0.00254241619586833,-0.0119546834668593,0.00782391154028305,-0.00157812849288988,-0.0180918929400151,0.0149019103968879,75,1,"Accidental falls"
"90",-0.00144191464118345,-0.0115646159665577,0.0100990488166459,0.00525728609264349,-0.0144687069904195,0.0249784856413403,75,1,"Accidental falls"
"91",-0.00228782515498439,-0.0125517708379024,0.00918458891505885,0.00431383211752418,-0.0149387457334253,0.0235755403118916,75,1,"Accidental falls"
"92",-0.00521583380921758,-0.015765166383055,0.00562406855241074,-0.00490629843585989,-0.025451547578848,0.015598335516343,75,1,"Accidental falls"
"93",-0.00820166586438191,-0.0191247630856319,0.00201555046281492,-0.0143844331188027,-0.0348572478244453,0.00604623263929437,75,1,"Accidental falls"
"94",-0.00920455781601736,-0.019258499336026,0.000127529315629579,-0.013905113196624,-0.031029375593902,0.00318093226485375,75,1,"Accidental falls"
"95",-0.00820318988303115,-0.0164330531336208,-1.34428844016151e-05,-0.00693842747258789,-0.0198075489632194,0.00593501711638006,75,1,"Accidental falls"
"96",-0.00844724487213356,-0.0154448256564408,-0.0014625205619206,-0.00821785487395746,-0.0179501147827466,0.00152158269620506,75,1,"Accidental falls"
"97",-0.00698174915951845,-0.0137940389878045,-0.000362467169167752,-0.00965794576727399,-0.0193573472173669,2.77846036922155e-05,85,1,"Accidental falls"
"98",-0.00529084190617008,-0.0117294215060988,0.0015008880293142,-0.00288928214818275,-0.0119896777520557,0.0062092020832294,85,1,"Accidental falls"
"99",-0.00813951343453528,-0.0157068286097496,-0.000936028383158709,-0.0105082595809699,-0.0213595267897237,0.000320648521125542,85,1,"Accidental falls"
"100",-0.00823109221319315,-0.0173141411717177,0.000427538579934213,-0.0104758737633614,-0.0264287139444313,0.00545228065552676,85,1,"Accidental falls"
"101",-0.00680299383603137,-0.0159749915094935,0.0027057358364962,-0.000680948929933777,-0.0169459979715949,0.0155939883106182,85,1,"Accidental falls"
"102",-0.00901033973626261,-0.0196281555289324,0.000735819342228905,-0.0163051469703306,-0.0358593830746789,0.00317597529380264,85,1,"Accidental falls"
"103",-0.00818161595164625,-0.0185804146618707,0.001744546414051,-0.00985154969515236,-0.0283506583823191,0.00864593165804103,85,1,"Accidental falls"
"104",-0.00721750480096385,-0.0177004185105037,0.00304722056543525,-0.0127654184660739,-0.0331272652796493,0.00750036499146099,85,1,"Accidental falls"
"105",-0.00431162238474325,-0.0141868246124291,0.00683979234033966,0.00705476283512975,-0.0132431350427525,0.0274085746814892,85,1,"Accidental falls"
"106",-0.00517481851320775,-0.0142288228337434,0.0045846107177879,0.000187872384302603,-0.0167305022951719,0.0170993813182359,85,1,"Accidental falls"
"107",-0.00812063859285083,-0.0165590085660893,-0.000321515273645013,-0.0145905952485088,-0.0272051206818663,-0.00198837495368725,85,1,"Accidental falls"
"108",-0.00557337421629122,-0.0122492181553531,0.00136223959053069,-0.00276117472065026,-0.0123398517127343,0.00683131755017165,85,1,"Accidental falls"
