"","cause.numeric","cause.group","cause.sub"
"416",9190,"Unintentional","Other external causes of accidental injury"
"417",9191,"Unintentional","Other external causes of accidental injury"
"418",9192,"Unintentional","Other external causes of accidental injury"
"419",9193,"Unintentional","Other external causes of accidental injury"
"420",9194,"Unintentional","Other external causes of accidental injury"
"421",9196,"Unintentional","Other external causes of accidental injury"
"422",9197,"Unintentional","Other external causes of accidental injury"
"423",9198,"Unintentional","Other external causes of accidental injury"
"424",9199,"Unintentional","Other external causes of accidental injury"
"425",9200,"Unintentional","Other external causes of accidental injury"
"426",9201,"Unintentional","Other external causes of accidental injury"
"427",9202,"Unintentional","Other external causes of accidental injury"
"428",9203,"Unintentional","Other external causes of accidental injury"
"429",9204,"Unintentional","Other external causes of accidental injury"
"430",9208,"Unintentional","Other external causes of accidental injury"
"431",9209,"Unintentional","Other external causes of accidental injury"
"432",9210,"Unintentional","Other external causes of accidental injury"
"433",9211,"Unintentional","Other external causes of accidental injury"
"434",9218,"Unintentional","Other external causes of accidental injury"
"435",9220,"Unintentional","Other external causes of accidental injury"
"436",9221,"Unintentional","Other external causes of accidental injury"
"437",9222,"Unintentional","Other external causes of accidental injury"
"438",9228,"Unintentional","Other external causes of accidental injury"
"439",9229,"Unintentional","Other external causes of accidental injury"
"440",9230,"Unintentional","Other external causes of accidental injury"
"441",9231,"Unintentional","Other external causes of accidental injury"
"442",9232,"Unintentional","Other external causes of accidental injury"
"443",9238,"Unintentional","Other external causes of accidental injury"
"444",9239,"Unintentional","Other external causes of accidental injury"
"445",9240,"Unintentional","Other external causes of accidental injury"
"446",9241,"Unintentional","Other external causes of accidental injury"
"447",9248,"Unintentional","Other external causes of accidental injury"
"448",9250,"Unintentional","Other external causes of accidental injury"
"449",9251,"Unintentional","Other external causes of accidental injury"
"450",9252,"Unintentional","Other external causes of accidental injury"
"451",9258,"Unintentional","Other external causes of accidental injury"
"452",9259,"Unintentional","Other external causes of accidental injury"
"453",9262,"Unintentional","Other external causes of accidental injury"
"454",9268,"Unintentional","Other external causes of accidental injury"
"455",9270,"Unintentional","Other external causes of accidental injury"
"456",9288,"Unintentional","Other external causes of accidental injury"
"457",9289,"Unintentional","Other external causes of accidental injury"
"458",9290,"Unintentional","Other external causes of accidental injury"
"459",9291,"Unintentional","Other external causes of accidental injury"
"460",9292,"Unintentional","Other external causes of accidental injury"
"461",9293,"Unintentional","Other external causes of accidental injury"
"462",9294,"Unintentional","Other external causes of accidental injury"
"463",9295,"Unintentional","Other external causes of accidental injury"
"464",9298,"Unintentional","Other external causes of accidental injury"
"465",9299,"Unintentional","Other external causes of accidental injury"
"466",9300,"Unintentional","Complications of medical and surgical care"
"467",9305,"Unintentional","Complications of medical and surgical care"
"468",9308,"Unintentional","Complications of medical and surgical care"
"469",9309,"Unintentional","Complications of medical and surgical care"
"470",9314,"Unintentional","Complications of medical and surgical care"
"471",9318,"Unintentional","Complications of medical and surgical care"
"472",9323,"Unintentional","Complications of medical and surgical care"
"473",9329,"Unintentional","Complications of medical and surgical care"
"474",9330,"Unintentional","Complications of medical and surgical care"
"475",9331,"Unintentional","Complications of medical and surgical care"
"476",9340,"Unintentional","Complications of medical and surgical care"
"477",9342,"Unintentional","Complications of medical and surgical care"
"478",9344,"Unintentional","Complications of medical and surgical care"
"479",9345,"Unintentional","Complications of medical and surgical care"
"480",9348,"Unintentional","Complications of medical and surgical care"
"481",9350,"Unintentional","Complications of medical and surgical care"
"482",9351,"Unintentional","Complications of medical and surgical care"
"483",9352,"Unintentional","Complications of medical and surgical care"
"484",9354,"Unintentional","Complications of medical and surgical care"
"485",9355,"Unintentional","Complications of medical and surgical care"
"486",9361,"Unintentional","Complications of medical and surgical care"
"487",9363,"Unintentional","Complications of medical and surgical care"
"488",9370,"Unintentional","Complications of medical and surgical care"
"489",9379,"Unintentional","Complications of medical and surgical care"
"490",9384,"Unintentional","Complications of medical and surgical care"
"491",9385,"Unintentional","Complications of medical and surgical care"
"492",9389,"Unintentional","Complications of medical and surgical care"
"493",9390,"Unintentional","Complications of medical and surgical care"
"494",9391,"Unintentional","Complications of medical and surgical care"
"495",9412,"Unintentional","Complications of medical and surgical care"
"496",9420,"Unintentional","Complications of medical and surgical care"
"497",9421,"Unintentional","Complications of medical and surgical care"
"498",9424,"Unintentional","Complications of medical and surgical care"
"499",9441,"Unintentional","Complications of medical and surgical care"
"500",9447,"Unintentional","Complications of medical and surgical care"
"501",9461,"Unintentional","Complications of medical and surgical care"
"502",9465,"Unintentional","Complications of medical and surgical care"
"503",9473,"Unintentional","Complications of medical and surgical care"
"504",9478,"Unintentional","Complications of medical and surgical care"
"505",9479,"Unintentional","Complications of medical and surgical care"
"583",9800,"Unintentional","Other external causes of accidental injury"
"584",9801,"Unintentional","Other external causes of accidental injury"
"585",9802,"Unintentional","Other external causes of accidental injury"
"586",9803,"Unintentional","Other external causes of accidental injury"
"587",9804,"Unintentional","Other external causes of accidental injury"
"588",9805,"Unintentional","Other external causes of accidental injury"
"589",9806,"Unintentional","Other external causes of accidental injury"
"590",9807,"Unintentional","Other external causes of accidental injury"
"591",9808,"Unintentional","Other external causes of accidental injury"
"592",9809,"Unintentional","Other external causes of accidental injury"
"593",9818,"Unintentional","Other external causes of accidental injury"
"594",9820,"Unintentional","Other external causes of accidental injury"
"595",9821,"Unintentional","Other external causes of accidental injury"
"596",9828,"Unintentional","Other external causes of accidental injury"
"597",9830,"Unintentional","Other external causes of accidental injury"
"598",9831,"Unintentional","Other external causes of accidental injury"
"599",9838,"Unintentional","Other external causes of accidental injury"
"600",9839,"Unintentional","Other external causes of accidental injury"
"601",9840,"Unintentional","Other external causes of accidental injury"
"602",9850,"Unintentional","Other external causes of accidental injury"
"603",9851,"Unintentional","Other external causes of accidental injury"
"604",9852,"Unintentional","Other external causes of accidental injury"
"605",9854,"Unintentional","Other external causes of accidental injury"
"606",9855,"Unintentional","Other external causes of accidental injury"
"607",9860,"Unintentional","Other external causes of accidental injury"
"608",9870,"Unintentional","Other external causes of accidental injury"
"609",9871,"Unintentional","Other external causes of accidental injury"
"610",9872,"Unintentional","Other external causes of accidental injury"
"611",9879,"Unintentional","Other external causes of accidental injury"
"612",9880,"Unintentional","Other external causes of accidental injury"
"613",9881,"Unintentional","Other external causes of accidental injury"
"614",9882,"Unintentional","Other external causes of accidental injury"
"615",9883,"Unintentional","Other external causes of accidental injury"
"616",9884,"Unintentional","Other external causes of accidental injury"
"617",9885,"Unintentional","Other external causes of accidental injury"
"618",9886,"Unintentional","Other external causes of accidental injury"
"619",9888,"Unintentional","Other external causes of accidental injury"
"620",9889,"Unintentional","Other external causes of accidental injury"
"621",9890,"Unintentional","Other external causes of accidental injury"
"1144",9587,"Intentional","Intentional self-harm"
"1153",9629,"Intentional","Assault"
"1176",9730,"Intentional","Legal intervention and operations of war"
"1179",9780,"Intentional","Legal intervention and operations of war"
"625",8001,"Unintentional","Transport accidents"
"626",8009,"Unintentional","Transport accidents"
"632",8042,"Unintentional","Transport accidents"
"640",8061,"Unintentional","Transport accidents"
"643",8072,"Unintentional","Transport accidents"
"661",8131,"Unintentional","Transport accidents"
"663",8133,"Unintentional","Transport accidents"
"672",8146,"Unintentional","Transport accidents"
"679",8155,"Unintentional","Transport accidents"
"690",8177,"Unintentional","Transport accidents"
"691",8178,"Unintentional","Transport accidents"
"697",8184,"Unintentional","Transport accidents"
"698",8186,"Unintentional","Transport accidents"
"706",8198,"Unintentional","Transport accidents"
"730",8238,"Unintentional","Transport accidents"
"733",8243,"Unintentional","Transport accidents"
"734",8247,"Unintentional","Transport accidents"
"739",8253,"Unintentional","Transport accidents"
"746",8270,"Unintentional","Transport accidents"
"750",8293,"Unintentional","Transport accidents"
"760",8313,"Unintentional","Transport accidents"
"761",8314,"Unintentional","Transport accidents"
"767",8324,"Unintentional","Transport accidents"
"768",8328,"Unintentional","Transport accidents"
"770",8332,"Unintentional","Transport accidents"
"771",8339,"Unintentional","Transport accidents"
"774",8351,"Unintentional","Transport accidents"
"777",8359,"Unintentional","Transport accidents"
"782",8379,"Unintentional","Transport accidents"
"786",8383,"Unintentional","Transport accidents"
"804",8435,"Unintentional","Transport accidents"
"806",8439,"Unintentional","Transport accidents"
"807",8441,"Unintentional","Transport accidents"
"809",8445,"Unintentional","Transport accidents"
"829",8531,"Unintentional","Other external causes of accidental injury"
"839",8553,"Unintentional","Other external causes of accidental injury"
"842",8559,"Unintentional","Other external causes of accidental injury"
"865",8620,"Unintentional","Other external causes of accidental injury"
"872",8637,"Unintentional","Other external causes of accidental injury"
"884",8666,"Unintentional","Other external causes of accidental injury"
"907",8715,"Unintentional","Complications of medical and surgical care"
"908",8722,"Unintentional","Complications of medical and surgical care"
"909",8730,"Unintentional","Complications of medical and surgical care"
"911",8735,"Unintentional","Complications of medical and surgical care"
"912",8736,"Unintentional","Complications of medical and surgical care"
"917",8750,"Unintentional","Complications of medical and surgical care"
"919",8762,"Unintentional","Complications of medical and surgical care"
"934",8793,"Unintentional","Complications of medical and surgical care"
"986",9021,"Unintentional","Other external causes of accidental injury"
"992",9042,"Unintentional","Other external causes of accidental injury"
"1045",9219,"Unintentional","Other external causes of accidental injury"
"1063",9269,"Unintentional","Other external causes of accidental injury"
"1077",9321,"Unintentional","Complications of medical and surgical care"
"1084",9358,"Unintentional","Complications of medical and surgical care"
"1087",9381,"Unintentional","Complications of medical and surgical care"
"1088",9383,"Unintentional","Complications of medical and surgical care"
"1090",9386,"Unintentional","Complications of medical and surgical care"
"1091",9387,"Unintentional","Complications of medical and surgical care"
"1094",9392,"Unintentional","Complications of medical and surgical care"
"1095",9413,"Unintentional","Complications of medical and surgical care"
"1097",9443,"Unintentional","Complications of medical and surgical care"
"1099",9455,"Unintentional","Complications of medical and surgical care"
"1100",9460,"Unintentional","Complications of medical and surgical care"
"1104",9480,"Unintentional","Complications of medical and surgical care"
"1190",9810,"Unintentional","Other external causes of accidental injury"
"1191",9811,"Unintentional","Other external causes of accidental injury"
"1222",8018,"Unintentional","Transport accidents"
"1223",8021,"Unintentional","Transport accidents"
"1224",8029,"Unintentional","Transport accidents"
"1225",8031,"Unintentional","Transport accidents"
"1230",8051,"Unintentional","Transport accidents"
"1238",8071,"Unintentional","Transport accidents"
"1247",8108,"Unintentional","Transport accidents"
"1255",8126,"Unintentional","Transport accidents"
"1287",8170,"Unintentional","Transport accidents"
"1356",8323,"Unintentional","Transport accidents"
"1362",8341,"Unintentional","Transport accidents"
"1368",8363,"Unintentional","Transport accidents"
"1369",8371,"Unintentional","Transport accidents"
"1393",8417,"Unintentional","Transport accidents"
"1398",8433,"Unintentional","Transport accidents"
"1412",8509,"Unintentional","Other external causes of accidental injury"
"1425",8543,"Unintentional","Other external causes of accidental injury"
"1455",8622,"Unintentional","Other external causes of accidental injury"
"1484",8691,"Unintentional","Other external causes of accidental injury"
"1492",8703,"Unintentional","Complications of medical and surgical care"
"1505",8744,"Unintentional","Complications of medical and surgical care"
"1506",8745,"Unintentional","Complications of medical and surgical care"
"1548",8901,"Unintentional","Other external causes of accidental injury"
"1589",9058,"Unintentional","Other external causes of accidental injury"
"1613",9140,"Unintentional","Other external causes of accidental injury"
"1659",9281,"Unintentional","Other external causes of accidental injury"
"1671",9304,"Unintentional","Complications of medical and surgical care"
"1673",9310,"Unintentional","Complications of medical and surgical care"
"1674",9319,"Unintentional","Complications of medical and surgical care"
"1679",9346,"Unintentional","Complications of medical and surgical care"
"1686",9364,"Unintentional","Complications of medical and surgical care"
"1687",9371,"Unintentional","Complications of medical and surgical care"
"1695",9393,"Unintentional","Complications of medical and surgical care"
"1698",9426,"Unintentional","Complications of medical and surgical care"
"1699",9434,"Unintentional","Complications of medical and surgical care"
"1701",9467,"Unintentional","Complications of medical and surgical care"
"2397",9657,"Intentional","Assault"
"2454",9930,"Intentional","Legal intervention and operations of war"
"1817",8010,"Unintentional","Transport accidents"
"1818",8012,"Unintentional","Transport accidents"
"1843",8104,"Unintentional","Transport accidents"
"1902",8196,"Unintentional","Transport accidents"
"1912",8213,"Unintentional","Transport accidents"
"1913",8216,"Unintentional","Transport accidents"
"1929",8240,"Unintentional","Transport accidents"
"1936",8256,"Unintentional","Transport accidents"
"1942",8263,"Unintentional","Transport accidents"
"1973",8343,"Unintentional","Transport accidents"
"1976",8350,"Unintentional","Transport accidents"
"1996",8408,"Unintentional","Transport accidents"
"2007",8429,"Unintentional","Transport accidents"
"2018",8452,"Unintentional","Transport accidents"
"2020",8470,"Unintentional","Transport accidents"
"2079",8632,"Unintentional","Other external causes of accidental injury"
"2120",8716,"Unintentional","Complications of medical and surgical care"
"2121",8720,"Unintentional","Complications of medical and surgical care"
"2122",8721,"Unintentional","Complications of medical and surgical care"
"2123",8729,"Unintentional","Complications of medical and surgical care"
"2132",8758,"Unintentional","Complications of medical and surgical care"
"2214",9052,"Unintentional","Other external causes of accidental injury"
"2218",9061,"Unintentional","Other external causes of accidental injury"
"2271",9223,"Unintentional","Other external causes of accidental injury"
"2299",9303,"Unintentional","Complications of medical and surgical care"
"2301",9306,"Unintentional","Complications of medical and surgical care"
"2302",9307,"Unintentional","Complications of medical and surgical care"
"2305",9320,"Unintentional","Complications of medical and surgical care"
"2315",9359,"Unintentional","Complications of medical and surgical care"
"2318",9375,"Unintentional","Complications of medical and surgical care"
"2325",9395,"Unintentional","Complications of medical and surgical care"
"2330",9444,"Unintentional","Complications of medical and surgical care"
"2332",9452,"Unintentional","Complications of medical and surgical care"
"2338",9481,"Unintentional","Complications of medical and surgical care"
"2339",9484,"Unintentional","Complications of medical and surgical care"
"2340",9486,"Unintentional","Complications of medical and surgical care"
"2428",9829,"Unintentional","Other external causes of accidental injury"
"2450",9887,"Unintentional","Other external causes of accidental injury"
"3053",9740,"Intentional","Legal intervention and operations of war"
"3098",9950,"Intentional","Legal intervention and operations of war"
"2544",8202,"Unintentional","Transport accidents"
"2583",8268,"Unintentional","Transport accidents"
"2586",8281,"Unintentional","Transport accidents"
"2605",8325,"Unintentional","Transport accidents"
"2616",8354,"Unintentional","Transport accidents"
"2620",8369,"Unintentional","Transport accidents"
"2645",8421,"Unintentional","Transport accidents"
"2646",8425,"Unintentional","Transport accidents"
"2650",8432,"Unintentional","Transport accidents"
"2658",8450,"Unintentional","Transport accidents"
"2731",8658,"Unintentional","Other external causes of accidental injury"
"2733",8661,"Unintentional","Other external causes of accidental injury"
"2761",8718,"Unintentional","Complications of medical and surgical care"
"2842",9030,"Unintentional","Other external causes of accidental injury"
"2916",9249,"Unintentional","Other external causes of accidental injury"
"2923",9282,"Unintentional","Other external causes of accidental injury"
"2941",9322,"Unintentional","Complications of medical and surgical care"
"2945",9343,"Unintentional","Complications of medical and surgical care"
"2948",9349,"Unintentional","Complications of medical and surgical care"
"2956",9382,"Unintentional","Complications of medical and surgical care"
"2960",9394,"Unintentional","Complications of medical and surgical care"
"2961",9397,"Unintentional","Complications of medical and surgical care"
"2962",9410,"Unintentional","Complications of medical and surgical care"
"2968",9430,"Unintentional","Complications of medical and surgical care"
"2972",9463,"Unintentional","Complications of medical and surgical care"
"2973",9464,"Unintentional","Complications of medical and surgical care"
"2977",9491,"Unintentional","Complications of medical and surgical care"
"2978",9499,"Unintentional","Complications of medical and surgical care"
"3718",9912,"Intentional","Legal intervention and operations of war"
"3148",8144,"Unintentional","Transport accidents"
"3156",8156,"Unintentional","Transport accidents"
"3169",8174,"Unintentional","Transport accidents"
"3223",8272,"Unintentional","Transport accidents"
"3236",8305,"Unintentional","Transport accidents"
"3254",8361,"Unintentional","Transport accidents"
"3442",8911,"Unintentional","Other external causes of accidental injury"
"3467",9020,"Unintentional","Other external causes of accidental injury"
"3479",9059,"Unintentional","Other external causes of accidental injury"
"3514",9195,"Unintentional","Other external causes of accidental injury"
"3574",9347,"Unintentional","Complications of medical and surgical care"
"3580",9360,"Unintentional","Complications of medical and surgical care"
"3591",9409,"Unintentional","Complications of medical and surgical care"
"3595",9458,"Unintentional","Complications of medical and surgical care"
"3598",9470,"Unintentional","Complications of medical and surgical care"
"3602",9488,"Unintentional","Complications of medical and surgical care"
"3723",8011,"Unintentional","Transport accidents"
"3791",8166,"Unintentional","Transport accidents"
"3796",8173,"Unintentional","Transport accidents"
"3861",8283,"Unintentional","Transport accidents"
"3917",8440,"Unintentional","Transport accidents"
"3955",8556,"Unintentional","Other external causes of accidental injury"
"4038",8764,"Unintentional","Complications of medical and surgical care"
"4207",9327,"Unintentional","Complications of medical and surgical care"
"4227",9408,"Unintentional","Complications of medical and surgical care"
"4233",9442,"Unintentional","Complications of medical and surgical care"
"4981",9960,"Intentional","Legal intervention and operations of war"
"4357",8002,"Unintentional","Transport accidents"
"4408",8148,"Unintentional","Transport accidents"
"4500",8344,"Unintentional","Transport accidents"
"4542",8444,"Unintentional","Transport accidents"
"4599",8615,"Unintentional","Other external causes of accidental injury"
"4652",8731,"Unintentional","Complications of medical and surgical care"
"4657",8749,"Unintentional","Complications of medical and surgical care"
"4680",8797,"Unintentional","Complications of medical and surgical care"
"4852",9398,"Unintentional","Complications of medical and surgical care"
"4853",9399,"Unintentional","Complications of medical and surgical care"
"4858",9454,"Unintentional","Complications of medical and surgical care"
"4865",9496,"Unintentional","Complications of medical and surgical care"
"5552",9656,"Intentional","Assault"
"5611",9979,"Intentional","Legal intervention and operations of war"
"5074",8203,"Unintentional","Transport accidents"
"5114",8294,"Unintentional","Transport accidents"
"5136",8330,"Unintentional","Transport accidents"
"5144",8356,"Unintentional","Transport accidents"
"5164",8410,"Unintentional","Transport accidents"
"5361",9028,"Unintentional","Other external causes of accidental injury"
"5371",9056,"Unintentional","Other external causes of accidental injury"
"5444",9280,"Unintentional","Other external causes of accidental injury"
"5473",9380,"Unintentional","Complications of medical and surgical care"
"5483",9401,"Unintentional","Complications of medical and surgical care"
"5491",9466,"Unintentional","Complications of medical and surgical care"
"5492",9471,"Unintentional","Complications of medical and surgical care"
"5495",9485,"Unintentional","Complications of medical and surgical care"
"6262",9970,"Intentional","Legal intervention and operations of war"
"5614",8008,"Unintentional","Transport accidents"
"5621",8022,"Unintentional","Transport accidents"
"5637",8063,"Unintentional","Transport accidents"
"5681",8154,"Unintentional","Transport accidents"
"5727",8225,"Unintentional","Transport accidents"
"5739",8242,"Unintentional","Transport accidents"
"5754",8278,"Unintentional","Transport accidents"
"5756",8280,"Unintentional","Transport accidents"
"5759",8288,"Unintentional","Transport accidents"
"5767",8304,"Unintentional","Transport accidents"
"5783",8333,"Unintentional","Transport accidents"
"5821",8446,"Unintentional","Transport accidents"
"5825",8453,"Unintentional","Transport accidents"
"5935",8751,"Unintentional","Complications of medical and surgical care"
"6105",9324,"Unintentional","Complications of medical and surgical care"
"6108",9334,"Unintentional","Complications of medical and surgical care"
"6116",9353,"Unintentional","Complications of medical and surgical care"
"6128",9429,"Unintentional","Complications of medical and surgical care"
"6129",9433,"Unintentional","Complications of medical and surgical care"
"6132",9457,"Unintentional","Complications of medical and surgical care"
"6135",9469,"Unintentional","Complications of medical and surgical care"
"6243",9853,"Unintentional","Other external causes of accidental injury"
"6866",9710,"Intentional","Legal intervention and operations of war"
"6272",8030,"Unintentional","Transport accidents"
"6289",8078,"Unintentional","Transport accidents"
"6334",8164,"Unintentional","Transport accidents"
"6386",8246,"Unintentional","Transport accidents"
"6392",8254,"Unintentional","Transport accidents"
"6427",8340,"Unintentional","Transport accidents"
"6433",8358,"Unintentional","Transport accidents"
"6437",8368,"Unintentional","Transport accidents"
"6456",8406,"Unintentional","Transport accidents"
"6574",8717,"Unintentional","Complications of medical and surgical care"
"6576",8725,"Unintentional","Complications of medical and surgical care"
"6578",8733,"Unintentional","Complications of medical and surgical care"
"6664",9054,"Unintentional","Other external causes of accidental injury"
"6668",9062,"Unintentional","Other external causes of accidental injury"
"6757",9328,"Unintentional","Complications of medical and surgical care"
"6787",9456,"Unintentional","Complications of medical and surgical care"
"7037",8262,"Unintentional","Transport accidents"
"7065",8331,"Unintentional","Transport accidents"
"7078",8370,"Unintentional","Transport accidents"
"7100",8416,"Unintentional","Transport accidents"
"7180",8650,"Unintentional","Other external causes of accidental injury"
"7339",9171,"Unintentional","Other external causes of accidental injury"
"7397",9301,"Unintentional","Complications of medical and surgical care"
"7398",9302,"Unintentional","Complications of medical and surgical care"
"7403",9312,"Unintentional","Complications of medical and surgical care"
"7432",9489,"Unintentional","Complications of medical and surgical care"
"8170",9909,"Intentional","Legal intervention and operations of war"
"7586",8124,"Unintentional","Transport accidents"
"7587",8125,"Unintentional","Transport accidents"
"7732",8434,"Unintentional","Transport accidents"
"7836",8711,"Unintentional","Complications of medical and surgical care"
"8024",9341,"Unintentional","Complications of medical and surgical care"
"8043",9422,"Unintentional","Complications of medical and surgical care"
"8048",9468,"Unintentional","Complications of medical and surgical care"
"8286",8236,"Unintentional","Transport accidents"
"8468",8712,"Unintentional","Complications of medical and surgical care"
"8471",8726,"Unintentional","Complications of medical and surgical care"
"8690",9446,"Unintentional","Complications of medical and surgical care"
"8693",9474,"Unintentional","Complications of medical and surgical care"
"8836",8105,"Unintentional","Transport accidents"
"8940",8284,"Unintentional","Transport accidents"
"9109",8743,"Unintentional","Complications of medical and surgical care"
"9290",9332,"Unintentional","Complications of medical and surgical care"
"9308",9396,"Unintentional","Complications of medical and surgical care"
"9441",8003,"Unintentional","Transport accidents"
"9577",8316,"Unintentional","Transport accidents"
"9590",8360,"Unintentional","Transport accidents"
"9607",8400,"Unintentional","Transport accidents"
"9620",8423,"Unintentional","Transport accidents"
"9741",8752,"Unintentional","Complications of medical and surgical care"
"9938",9419,"Unintentional","Complications of medical and surgical care"
"10212",8355,"Unintentional","Transport accidents"
"10244",8438,"Unintentional","Transport accidents"
"10348",8714,"Unintentional","Complications of medical and surgical care"
"10559",9411,"Unintentional","Complications of medical and surgical care"
"10564",9445,"Unintentional","Complications of medical and surgical care"
"10857",8420,"Unintentional","Transport accidents"
"11144",9317,"Unintentional","Complications of medical and surgical care"
"11174",9428,"Unintentional","Complications of medical and surgical care"
"11181",9494,"Unintentional","Complications of medical and surgical care"
"11678",9057,"Unintentional","Other external causes of accidental injury"
"11793",9400,"Unintentional","Complications of medical and surgical care"
